crop_path,video,person,label,frame
data/crops/awake/sofia_IMG_9498_f000000.jpg,IMG_9498.MOV,sofia,awake,0
data/crops/awake/sofia_IMG_9498_f000005.jpg,IMG_9498.MOV,sofia,awake,5
data/crops/awake/sofia_IMG_9498_f000010.jpg,IMG_9498.MOV,sofia,awake,10
data/crops/awake/sofia_IMG_9498_f000015.jpg,IMG_9498.MOV,sofia,awake,15
data/crops/awake/sofia_IMG_9498_f000020.jpg,IMG_9498.MOV,sofia,awake,20
data/crops/awake/sofia_IMG_9498_f000025.jpg,IMG_9498.MOV,sofia,awake,25
data/crops/awake/sofia_IMG_9498_f000030.jpg,IMG_9498.MOV,sofia,awake,30
data/crops/awake/sofia_IMG_9498_f000035.jpg,IMG_9498.MOV,sofia,awake,35
data/crops/awake/sofia_IMG_9498_f000040.jpg,IMG_9498.MOV,sofia,awake,40
data/crops/awake/sofia_IMG_9498_f000045.jpg,IMG_9498.MOV,sofia,awake,45
data/crops/awake/sofia_IMG_9498_f000050.jpg,IMG_9498.MOV,sofia,awake,50
data/crops/awake/sofia_IMG_9498_f000055.jpg,IMG_9498.MOV,sofia,awake,55
data/crops/awake/sofia_IMG_9498_f000060.jpg,IMG_9498.MOV,sofia,awake,60
data/crops/awake/sofia_IMG_9498_f000065.jpg,IMG_9498.MOV,sofia,awake,65
data/crops/awake/sofia_IMG_9498_f000070.jpg,IMG_9498.MOV,sofia,awake,70
data/crops/awake/sofia_IMG_9498_f000075.jpg,IMG_9498.MOV,sofia,awake,75
data/crops/awake/sofia_IMG_9498_f000080.jpg,IMG_9498.MOV,sofia,awake,80
data/crops/awake/sofia_IMG_9498_f000085.jpg,IMG_9498.MOV,sofia,awake,85
data/crops/awake/sofia_IMG_9498_f000090.jpg,IMG_9498.MOV,sofia,awake,90
data/crops/awake/sofia_IMG_9498_f000095.jpg,IMG_9498.MOV,sofia,awake,95
data/crops/awake/sofia_IMG_9498_f000100.jpg,IMG_9498.MOV,sofia,awake,100
data/crops/awake/sofia_IMG_9498_f000105.jpg,IMG_9498.MOV,sofia,awake,105
data/crops/awake/sofia_IMG_9498_f000110.jpg,IMG_9498.MOV,sofia,awake,110
data/crops/awake/sofia_IMG_9498_f000115.jpg,IMG_9498.MOV,sofia,awake,115
data/crops/awake/sofia_IMG_9498_f000120.jpg,IMG_9498.MOV,sofia,awake,120
data/crops/awake/sofia_IMG_9498_f000125.jpg,IMG_9498.MOV,sofia,awake,125
data/crops/awake/sofia_IMG_9498_f000130.jpg,IMG_9498.MOV,sofia,awake,130
data/crops/awake/sofia_IMG_9498_f000135.jpg,IMG_9498.MOV,sofia,awake,135
data/crops/awake/sofia_IMG_9498_f000140.jpg,IMG_9498.MOV,sofia,awake,140
data/crops/awake/sofia_IMG_9498_f000145.jpg,IMG_9498.MOV,sofia,awake,145
data/crops/awake/sofia_IMG_9498_f000150.jpg,IMG_9498.MOV,sofia,awake,150
data/crops/awake/sofia_IMG_9498_f000155.jpg,IMG_9498.MOV,sofia,awake,155
data/crops/awake/sofia_IMG_9498_f000160.jpg,IMG_9498.MOV,sofia,awake,160
data/crops/awake/sofia_IMG_9498_f000165.jpg,IMG_9498.MOV,sofia,awake,165
data/crops/awake/sofia_IMG_9498_f000170.jpg,IMG_9498.MOV,sofia,awake,170
data/crops/awake/sofia_IMG_9498_f000175.jpg,IMG_9498.MOV,sofia,awake,175
data/crops/awake/sofia_IMG_9498_f000180.jpg,IMG_9498.MOV,sofia,awake,180
data/crops/awake/sofia_IMG_9498_f000185.jpg,IMG_9498.MOV,sofia,awake,185
data/crops/awake/sofia_IMG_9498_f000190.jpg,IMG_9498.MOV,sofia,awake,190
data/crops/awake/sofia_IMG_9498_f000195.jpg,IMG_9498.MOV,sofia,awake,195
data/crops/awake/sofia_IMG_9498_f000200.jpg,IMG_9498.MOV,sofia,awake,200
data/crops/awake/sofia_IMG_9498_f000205.jpg,IMG_9498.MOV,sofia,awake,205
data/crops/awake/sofia_IMG_9498_f000210.jpg,IMG_9498.MOV,sofia,awake,210
data/crops/awake/sofia_IMG_9498_f000215.jpg,IMG_9498.MOV,sofia,awake,215
data/crops/awake/sofia_IMG_9498_f000220.jpg,IMG_9498.MOV,sofia,awake,220
data/crops/awake/sofia_IMG_9498_f000225.jpg,IMG_9498.MOV,sofia,awake,225
data/crops/awake/sofia_IMG_9498_f000230.jpg,IMG_9498.MOV,sofia,awake,230
data/crops/awake/sofia_IMG_9498_f000235.jpg,IMG_9498.MOV,sofia,awake,235
data/crops/awake/sofia_IMG_9498_f000240.jpg,IMG_9498.MOV,sofia,awake,240
data/crops/awake/sofia_IMG_9498_f000245.jpg,IMG_9498.MOV,sofia,awake,245
data/crops/awake/sofia_IMG_9498_f000250.jpg,IMG_9498.MOV,sofia,awake,250
data/crops/awake/sofia_IMG_9498_f000255.jpg,IMG_9498.MOV,sofia,awake,255
data/crops/awake/sofia_IMG_9498_f000260.jpg,IMG_9498.MOV,sofia,awake,260
data/crops/awake/sofia_IMG_9498_f000265.jpg,IMG_9498.MOV,sofia,awake,265
data/crops/awake/sofia_IMG_9498_f000270.jpg,IMG_9498.MOV,sofia,awake,270
data/crops/awake/sofia_IMG_9498_f000275.jpg,IMG_9498.MOV,sofia,awake,275
data/crops/awake/sofia_IMG_9498_f000280.jpg,IMG_9498.MOV,sofia,awake,280
data/crops/awake/sofia_IMG_9498_f000285.jpg,IMG_9498.MOV,sofia,awake,285
data/crops/awake/sofia_IMG_9498_f000290.jpg,IMG_9498.MOV,sofia,awake,290
data/crops/awake/sofia_IMG_9498_f000295.jpg,IMG_9498.MOV,sofia,awake,295
data/crops/awake/sofia_IMG_9498_f000300.jpg,IMG_9498.MOV,sofia,awake,300
data/crops/awake/sofia_IMG_9498_f000305.jpg,IMG_9498.MOV,sofia,awake,305
data/crops/awake/sofia_IMG_9498_f000310.jpg,IMG_9498.MOV,sofia,awake,310
data/crops/awake/sofia_IMG_9499_f000000.jpg,IMG_9499.MOV,sofia,awake,0
data/crops/awake/sofia_IMG_9499_f000005.jpg,IMG_9499.MOV,sofia,awake,5
data/crops/awake/sofia_IMG_9499_f000010.jpg,IMG_9499.MOV,sofia,awake,10
data/crops/awake/sofia_IMG_9499_f000015.jpg,IMG_9499.MOV,sofia,awake,15
data/crops/awake/sofia_IMG_9499_f000020.jpg,IMG_9499.MOV,sofia,awake,20
data/crops/awake/sofia_IMG_9499_f000025.jpg,IMG_9499.MOV,sofia,awake,25
data/crops/awake/sofia_IMG_9499_f000030.jpg,IMG_9499.MOV,sofia,awake,30
data/crops/awake/sofia_IMG_9499_f000035.jpg,IMG_9499.MOV,sofia,awake,35
data/crops/awake/sofia_IMG_9499_f000040.jpg,IMG_9499.MOV,sofia,awake,40
data/crops/awake/sofia_IMG_9499_f000045.jpg,IMG_9499.MOV,sofia,awake,45
data/crops/awake/sofia_IMG_9499_f000050.jpg,IMG_9499.MOV,sofia,awake,50
data/crops/awake/sofia_IMG_9499_f000055.jpg,IMG_9499.MOV,sofia,awake,55
data/crops/awake/sofia_IMG_9499_f000060.jpg,IMG_9499.MOV,sofia,awake,60
